order_id,customer_id,product_id,product_name,quantity,price,revenue,order_date,year,month,estimated_cost,profit,profit_margin,avg_order_value
4487,2285,9,Dolce Shine Eau de,5,69.99,349.95,2025-05-25,2025,May,209.97,139.98,40.0,69.99
885,2695,20,Cooking Oil,2,4.99,9.98,2025-05-25,2025,May,5.988,3.992,40.0,4.99
1885,2899,8,Dior J'adore,4,89.99,359.96,2025-05-25,2025,May,215.97599999999997,143.984,40.0,89.99
3738,2910,25,Green Bell Pepper,4,1.29,5.16,2025-05-25,2025,May,3.096,2.064,40.0,1.29
1614,3421,11,Annibale Colombo Bed,3,1899.99,5699.97,2025-05-25,2025,May,3419.982,2279.9880000000003,40.0,1899.99
2166,4274,2,Eyeshadow Palette with Mirror,4,19.99,79.96,2025-05-25,2025,May,47.97599999999999,31.984,40.00000000000001,19.99
2272,1969,25,Green Bell Pepper,3,1.29,3.87,2025-05-25,2025,May,2.322,1.548,40.0,1.29
2998,4760,10,Gucci Bloom Eau de,3,79.99,239.97,2025-05-25,2025,May,143.982,95.988,40.0,79.99
1856,4353,22,Dog Food,5,10.99,54.95,2025-05-25,2025,May,32.97,21.980000000000004,40.00000000000001,10.99
2015,3245,1,Essence Mascara Lash Princess,3,9.99,29.97,2025-05-25,2025,May,17.982,11.988,40.0,9.99
2090,2931,6,Calvin Klein CK One,5,49.99,249.95,2025-05-25,2025,May,149.97,99.97999999999999,40.0,49.989999999999995
3895,2827,10,Gucci Bloom Eau de,5,79.99,399.95,2025-05-26,2025,May,239.96999999999997,159.98000000000002,40.00000000000001,79.99
32,1943,3,Powder Canister,5,14.99,74.95,2025-05-26,2025,May,44.97,29.980000000000004,40.0,14.99
2222,2129,16,Apple,2,1.99,3.98,2025-05-26,2025,May,2.388,1.592,40.0,1.99
1258,3205,26,Green Chili Pepper,2,0.99,1.98,2025-05-26,2025,May,1.188,0.792,40.0,0.99
1512,2637,20,Cooking Oil,2,4.99,9.98,2025-05-26,2025,May,5.988,3.992,40.0,4.99
940,3115,6,Calvin Klein CK One,1,49.99,49.99,2025-05-26,2025,May,29.994,19.996000000000002,40.0,49.99
2933,3649,2,Eyeshadow Palette with Mirror,2,19.99,39.98,2025-05-26,2025,May,23.987999999999996,15.992,40.00000000000001,19.99
176,3730,14,Knoll Saarinen Executive Conference Chair,4,499.99,1999.96,2025-05-26,2025,May,1199.9759999999999,799.9840000000002,40.00000000000001,499.99
